:START_ID(Post)|:END_ID(Tag)
481036339507|1189
481036339507|2017
481036339507|5161
481036339507|14058
412316862786|500
412316862786|2027
412316862786|2823
412316862786|6374
412316862786|6797
412316862786|6931
412316862786|8705
412316862792|6
412316862792|500
412316862792|5062
824633723227|1934
824633723227|2927
824633723227|2947
824633723227|7734
824633723227|12301
687194769758|6
687194769758|1172
687194769758|2040
687194769758|6945
549755816291|6
549755816291|1172
549755816291|1940
549755816291|2001
549755816291|7015
481036339561|6
824633723254|6
824633723254|1186
824633723265|6
824633723265|2075
824633723265|6368
687194769798|6
755914246547|6
687194769813|6
549755816344|6
549755816344|5118
824633723317|6
824633723317|7015
962072676803|1526
962072676805|1183
962072676805|1526
962072676805|2835
962072676805|5140
962072676805|5165
962072676805|10163
962072676805|10838
962072676809|1526
962072676809|6410
962072676809|9284
962072676809|11698
962072676809|12035
962072676824|1526
962072676824|15338
962072676827|1526
962072676827|5457
962072676827|8064
962072676827|9295
962072676828|1526
962072676828|2093
962072676828|5077
962072676828|7068
962072676828|7519
962072676831|1526
962072676831|7301
962072676831|11693
962072676831|12294
962072676846|792
962072676846|1526
962072676846|1677
962072676846|2050
962072676846|13696
962072676852|1526
962072676852|2062
962072676852|2990
962072676852|7890
962072676852|12031
962072676873|1526
962072676873|3004
962072676873|5163
962072676873|9326
962072676873|9536
962072676873|12143
962072676879|1526
962072676879|1762
962072676879|2032
962072676879|6425
962072676879|9052
962072676879|10450
962072676879|15505
962072676883|1526
962072676883|2807
962072676883|14450
962072676888|1526
962072676888|2797
962072676888|2963
962072676888|5520
962072676888|7015
962072676888|11976
962072676891|1197
962072676891|1526
962072676891|5108
962072676899|1526
962072676899|6576
962072676899|7020
962072676899|7655
962072676899|11996
962072676899|14217
962072676920|281
962072676920|1526
962072676920|9255
962072676920|10106
962072676935|441
962072676935|785
962072676935|1021
962072676935|1526
962072676935|1679
962072676935|2104
962072676935|2830
962072676935|6071
962072676950|1526
962072676950|2953
962072676950|7521
962072676950|9202
962072676960|1526
962072676960|2779
962072676960|6679
962072676960|11028
962072676960|12014
962072676960|14605
962072676973|1526
962072676973|11674
962072676990|1526
962072676990|2981
962072677009|1194
962072677009|1526
962072677009|2116
962072677009|2777
962072677009|2801
962072677009|2953
962072677009|5325
962072677009|9044
962072677009|9326
962072677011|1526
962072677011|2793
962072677011|5168
962072677011|6261
962072677011|6528
962072677011|9259
962072677011|11525
962072677013|1526
962072677013|2070
962072677013|2077
962072677013|2990
962072677013|8635
962072677026|581
962072677026|1526
962072677026|9184
962072677026|11691
962072677026|12013
962072677036|1526
962072677036|2097
962072677036|9322
962072677057|1526
962072677057|9094
962072677057|11517
962072677070|1526
962072677070|2778
962072677070|6054
962072677070|8035
962072677070|8190
687194770149|6
687194770149|2048
687194770149|6368
687194770149|11695
1030792153830|6
1030792153830|138
1030792153830|2862
1030792153830|11254
893353200373|6
893353200373|781
618475293438|6
618475293455|6
618475293455|2078
893353200424|1167
962072677163|1167
962072677165|1167
962072677165|7572
962072677174|1526
962072677174|2804
962072677174|5102
962072677174|5811
687194770241|1944
687194770241|3004
687194770241|3022
687194770241|12143
687194770251|286
687194770251|1403
687194770251|1524
687194770251|5122
962072677201|1526
962072677201|8655
687194770260|1673
687194770260|1944
687194770260|2787
687194770260|7019
687194770260|8271
687194770260|9057
687194770260|9190
687194770260|11639
687194770278|584
687194770278|1944
687194770278|2853
687194770278|9325
687194770297|798
687194770297|1524
687194770297|3028
687194770297|9919
687194770297|11693
755914247068|1644
824633723806|1644
755914247080|1644
893353200572|1644
687194770384|1644
755914247126|1644
755914247126|12416
962072677342|1644
962072677345|1644
755914247146|568
755914247146|1444
755914247146|1769
755914247146|2850
755914247146|9144
755914247146|9148
755914247146|11913
755914247217|1444
755914247217|2039
755914247217|6959
755914247217|9116
755914247217|12292
755914247291|545
755914247291|1444
755914247291|2836
755914247291|2963
755914247291|4848
755914247291|6989
824633724038|205
1030792154261|138
1030792154261|566
1030792154261|1668
1030792154261|1992
1030792154261|2008
1030792154261|4848
1030792154261|7380
1030792154261|9299
962072677563|138
962072677563|1022
962072677563|2778
962072677563|4848
962072677563|5563
824633724096|138
824633724096|281
824633724096|573
824633724096|2116
824633724096|3047
962072677587|138
962072677587|1671
962072677587|2804
962072677587|2884
824633724120|138
824633724120|216
824633724120|1548
824633724120|2077
824633724137|138
824633724137|6706
824633724137|12392
755914247418|138
755914247418|286
755914247418|2077
755914247418|3087
755914247418|6360
755914247418|7521
755914247418|8897
755914247418|12392
893353200910|138
893353200910|593
893353200910|1985
893353200910|2879
893353200910|2912
893353200910|5119
893353200910|8897
893353200919|138
893353200919|1186
893353200919|2031
893353200919|6706
962072677698|395
962072677698|2882
962072677698|3028
962072677698|9225
962072677698|10216
962072677698|13568
962072677698|14350
755914247503|1860
755914247503|2898
755914247503|8162
962072677716|395
962072677716|1682
962072677716|1763
962072677716|2777
962072677716|2876
962072677716|5108
962072677716|6028
962072677716|6982
962072677716|7548
962072677716|14020
755914247524|1860
755914247524|3008
755914247524|6977
755914247524|7610
755914247524|12179
755914247528|1548
755914247528|1769
755914247528|1860
755914247528|5378
755914247534|1860
755914247534|9218
755914247534|11261
962072677754|395
962072677754|6239
962072677754|13856
755914247553|1860
755914247553|5064
687194770923|1597
824633724436|1597
893353201193|1597
755914247762|1597
962072677986|1597
893353201255|1597
1099511631476|1597
755914247815|1597
687194771091|1597
893353201320|1597
687194771133|1597
824633724623|1597
1030792154844|1597
755914247917|1597
755914247927|1597
824633724683|1597
1030792154899|1597
755914247973|1860
755914247973|2928
755914247973|9220
755914247973|11291
962072678184|266
962072678184|5090
962072678184|9301
962072678184|9353
962072678184|10578
824633724729|1934
824633724729|6397
824633724729|10194
962072678211|266
962072678211|2026
962072678211|5164
962072678211|7568
962072678211|13191
962072678211|13537
824633724744|1934
824633724744|3002
824633724744|5150
962072678235|266
962072678235|2112
962072678235|2860
962072678235|2897
962072678235|7380
824633724774|1934
824633724774|7520
824633724774|9808
755914248047|1668
755914248047|1860
755914248047|2922
755914248047|13647
824633724789|1934
824633724789|3024
824633724789|6068
824633724789|11557
824633724805|1934
824633724805|5445
824633724805|7960
824633724811|795
824633724811|1934
824633724811|2795
824633724811|2959
824633724811|5044
824633724811|5117
824633724811|6407
824633724811|9249
824633724827|1934
824633724827|3055
824633724827|8866
824633724827|9349
824633724827|12899
755914248100|1860
755914248100|1985
755914248100|5866
755914248100|9850
755914248100|14277
755914248100|14822
755914248100|15561
755914248118|1860
755914248135|1190
755914248135|1769
755914248135|1860
755914248135|2033
755914248135|2850
755914248135|7438
755914248135|11362
824633724890|1934
824633724890|2108
824633724890|5224
824633724890|7589
824633724890|9282
755914248173|1860
755914248173|2004
755914248173|5103
755914248173|5126
755914248173|8411
824633724930|1934
824633724930|5418
824633724930|7565
824633724930|9072
824633724930|11280
824633724930|12585
824633724940|1934
824633724940|2060
824633724940|6722
824633724940|8041
824633724940|9834
755914248223|1860
755914248243|804
755914248243|1033
755914248243|1860
755914248243|2088
755914248243|5132
755914248243|7575
755914248243|11690
755914248243|12248
962072678469|266
755914248279|1177
755914248279|1860
755914248279|2928
755914248279|5153
755914248279|7160
755914248279|7438
755914248279|10113
755914248279|10986
755914248300|289
755914248300|1860
755914248300|2839
755914248300|5077
755914248300|8605
755914248300|11642
755914248300|13727
755914248300|13996
824633725039|1174
824633725039|1934
824633725039|1987
824633725039|7566
824633725039|12195
824633725039|12200
824633725055|1934
824633725055|7018
824633725055|9061
824633725072|1934
824633725072|4936
824633725072|6422
824633725072|7516
824633725080|1934
824633725080|5145
824633725080|11305
824633725094|1934
824633725094|2844
824633725094|2847
824633725094|6971
824633725094|7514
824633725094|8502
824633725094|11685
824633725096|793
824633725096|1934
824633725096|2092
824633725096|7010
824633725096|8114
824633725115|470
824633725115|1934
824633725115|2964
824633725115|2977
824633725115|9158
755914248398|1860
755914248398|2055
755914248398|6175
755914248398|9356
755914248398|9933
755914248398|11365
962072678621|266
962072678621|2030
962072678621|2059
962072678621|7019
962072678621|10526
755914248417|144
755914248417|1860
755914248417|2788
755914248417|8656
755914248417|9079
755914248417|9284
824633725171|1934
824633725185|790
824633725185|1934
824633725185|2093
824633725185|4999
824633725185|8922
824633725185|9095
824633725189|1934
824633725189|5125
824633725189|6642
824633725189|9134
962072678662|266
962072678662|6743
962072678662|9292
962072678662|9326
962072678662|9921
755914248465|293
755914248465|1506
755914248465|1617
755914248465|1860
755914248465|2006
755914248465|2082
755914248465|2827
755914248465|9717
755914248465|11731
755914248465|14468
755914248475|1202
755914248475|1860
755914248475|2050
755914248475|3043
755914248475|5085
755914248475|7979
755914248475|9142
824633725221|1934
824633725221|6893
824633725221|7511
824633725221|7982
824633725221|9261
824633725221|12077
824633725237|1934
824633725237|5060
824633725237|5837
824633725237|15205
824633725256|1498
824633725363|127
824633725363|8757
824633725370|127
824633725370|2787
824633725370|5122
824633725370|7023
824633725370|8217
824633725370|9190
824633725378|127
824633725378|149
824633725378|2835
824633725378|3090
824633725378|5792
824633725378|8074
824633725378|9175
824633725378|11319
824633725378|12082
824633725384|127
824633725384|1548
824633725384|1676
824633725384|1749
824633725384|7546
824633725384|9305
824633725384|12092
824633725384|15383
824633725386|127
824633725386|1996
824633725386|2791
824633725386|5116
824633725404|127
824633725404|2075
824633725404|9448
824633725404|11184
893353202157|2781
893353202157|3008
893353202157|3089
893353202157|4863
893353202157|6341
893353202157|7729
755914248696|278
824633725440|278
962072678923|278
824633725458|278
893353202209|244
893353202209|588
893353202209|7277
893353202209|8851
893353202209|11695
893353202230|1541
893353202230|5729
893353202238|1541
893353202238|2943
893353202238|5846
893353202238|6365
893353202238|8160
893353202377|1524
962072679119|1524
893353202503|265
893353202503|2990
893353202503|6984
893353202503|9144
1030792155976|140
1030792155976|2057
1030792155976|6556
962072679375|140
962072679376|140
962072679376|3067
755914249486|558
274877912348|558
1030792156454|558
5442|1747
5442|2837
5442|6294
5442|9277
5443|1644
5443|1747
5443|2783
5443|7025
5443|9050
5443|12039
893353203017|244
893353203017|12614
893353203017|12831
893353203017|13815
893353203024|244
893353203024|2017
893353203024|2863
274877912417|24
274877912417|1184
274877912417|2038
274877912417|2835
274877912417|6407
274877912417|6419
274877912417|6986
274877912417|7139
274877912417|8914
274877912417|9154
274877912417|9162
343597389158|447
343597389158|2016
343597389158|9343
343597389158|11246
343597389158|14964
343597389168|447
343597389168|4875
343597389168|5263
343597389168|12062
206158435703|244
206158435703|2102
206158435703|5169
206158435703|10360
206158435703|11852
343597389182|447
343597389182|1545
343597389182|3055
343597389182|5090
343597389182|9043
343597389182|11251
343597389182|11261
343597389182|11594
343597389182|13999
343597389182|14960
343597389192|447
343597389192|1993
343597389192|5066
343597389192|5831
343597389192|8873
5518|774
5518|1747
5518|5101
5518|5125
5518|5133
5518|7546
5518|9336
5518|9620
5519|1747
5519|9195
5519|9226
274877912467|24
274877912467|783
274877912467|2861
274877912467|3050
274877912467|5420
274877912467|7579
274877912467|10662
5525|1617
5525|1747
5525|13655
893353203108|244
893353203108|2999
893353203108|6950
343597389235|447
343597389235|12819
343597389235|14974
343597389239|447
343597389239|2808
343597389239|9048
343597389250|447
343597389250|590
343597389250|2954
343597389250|5173
343597389250|7363
893353203153|244
893353203153|1987
893353203153|2819
893353203153|6198
893353203153|7609
893353203160|244
893353203160|5148
893353203160|15231
755914250025|1412
755914250025|3109
206158436153|1412
206158436153|2000
1030792156994|1412
5971|1412
549755819860|1412
549755819867|1412
206158436198|1412
343597389697|1412
549755819941|1412
893353203640|1412
1030792157131|1412
962072680412|1412
962072680412|2786
687194773478|540
687194773478|2835
687194773478|6767
687194773486|540
687194773486|586
687194773486|2102
687194773486|2805
687194773486|2855
687194773486|6501
687194773486|13813
206158436351|540
206158436351|2974
206158436351|9768
206158436351|11851
137438959617|1996
137438959617|2066
137438959617|3156
137438959617|6456
137438959632|2041
137438959632|3156
137438959632|13178
206158436382|540
206158436382|791
206158436382|6828
206158436382|9033
343597389860|1933
343597389860|2949
343597389860|5061
343597389860|8099
137438959656|3156
137438959656|6382
137438959656|7265
137438959656|7812
137438959656|11623
137438959656|14658
343597389870|592
343597389870|1933
343597389870|6905
549755820090|297
549755820090|775
549755820090|6397
412316866627|297
481036343379|297
274877913176|297
274877913194|297
274877913194|11267
755914250362|297
1030792157326|297
412316866703|297
755914250394|297
68719483052|297
68719483052|2091
68719483052|13735
274877913261|297
137438959809|297
137438959809|775
755914250441|297
824633727179|297
137438959835|582
137438959835|2974
137438959835|3156
137438959835|5066
137438959835|6992
137438959835|9860
274877913312|1602
274877913312|2777
137438959848|2123
137438959848|3156
343597390060|1093
343597390060|2922
343597390060|5205
343597390060|6426
274877913326|1602
274877913326|13115
343597390066|1093
343597390066|2831
343597390066|12566
343597390084|1093
343597390084|3058
343597390084|5183
343597390084|6954
343597390084|11110
343597390086|1093
343597390086|2108
343597390086|2930
343597390086|11422
343597390086|11556
137438959887|2918
137438959887|3156
137438959887|7584
137438959887|10560
137438959901|3156
137438959901|8499
137438959901|9197
137438959901|9689
274877913393|1602
274877913393|4847
274877913393|6938
137438959922|578
137438959922|3156
137438959922|4990
137438959922|5294
137438959922|6931
137438959922|9245
137438959922|9334
137438959922|11553
137438959940|786
137438959940|2118
137438959940|3156
137438959940|5153
137438959940|7543
137438959940|11776
137438959940|13396
137438959950|3156
137438959950|9106
343597390162|567
343597390162|1093
343597390162|2925
343597390162|2931
343597390162|9238
343597390162|15759
343597390173|545
343597390173|1093
343597390173|1673
343597390173|1930
343597390173|6680
343597390173|9317
343597390173|12086
343597390185|1093
343597390185|1760
343597390185|2882
343597390185|9180
137438959989|2047
137438959989|3156
137438959989|5636
137438959989|6942
137438959989|9320
137438960004|441
137438960004|3156
137438960006|1930
137438960006|3156
137438960006|5829
137438960006|8054
137438960006|11690
343597390230|1093
343597390230|5456
343597390230|6842
343597390230|7549
962072680857|1
962072680857|2807
962072680857|2842
962072680857|5132
962072680878|1
962072680878|2788
962072680878|2811
962072680878|5063
962072680878|6383
962072680878|7517
962072680878|9261
137438960058|1
137438960058|1990
137438960058|2000
137438960058|2807
137438960058|7015
137438960058|7517
137438960058|7547
137438960058|10449
137438960058|11667
274877913540|1
274877913540|1454
274877913540|1681
1030792157653|1
1030792157653|7486
549755820516|1
549755820516|1990
549755820516|7538
549755820516|9188
755914250734|1528
755914250734|2082
755914250734|2918
274877913595|1339
755914250766|1528
755914250766|6965
755914250766|13287
206158436890|570
206158436890|2956
206158436890|4845
206158436890|7163
206158436890|9987
206158436890|11545
206158436890|11969
206158436911|1641
206158436911|7561
206158436911|9341
206158436911|10026
412316867120|1178
412316867120|1930
412316867120|3019
412316867120|5442
755914250808|590
755914250808|787
755914250808|1528
755914250808|6166
755914250808|9771
755914250808|15012
274877913673|1339
274877913673|2107
274877913673|3008
274877913673|3073
274877913673|5154
274877913673|5862
274877913673|6369
274877913673|9230
274877913673|9307
274877913673|13429
274877913684|1339
274877913684|3048
274877913684|3056
274877913684|5015
274877913684|6486
274877913684|9297
206158436957|1170
206158436957|1183
206158436957|4845
206158436957|9280
412316867183|1930
412316867183|8842
412316867183|13515
755914250869|1528
755914250869|2852
755914250869|11318
755914250869|12723
206158436983|1641
206158436983|2968
206158436983|5762
206158436992|4845
206158436992|7303
206158436992|7584
206158436992|12221
412316867201|1930
412316867201|6662
412316867201|13855
412316867201|14455
206158437005|4845
206158437005|11644
206158437005|12229
687194774168|278
687194774168|7689
893353204389|278
68719483561|278
687194774186|278
824633727669|278
824633727669|1990
962072681157|278
962072681157|2981
962072681167|278
755914250978|278
755914250978|2033
412316867301|278
618475297526|278
755914251014|278
755914251014|7689
274877913879|278
274877913879|5147
481036344102|9
481036344102|1864
481036344102|3015
481036344112|9
481036344112|1181
962072681284|9
618475297617|9
618475297617|6625
687194774370|9
687194774370|3035
687194774370|4944
549755820915|140
549755820915|2423
549755820915|5060
549755820915|5141
549755820915|6962
549755820915|9065
549755820915|9235
549755820915|12428
549755820915|13020
549755820915|14467
687194774399|1396
687194774399|2049
687194774399|2069
687194774399|3040
481036344209|418
481036344209|2046
481036344209|4854
481036344209|5101
481036344209|9057
481036344209|11604
549755820952|592
549755820952|2423
549755820952|5486
549755820952|5634
549755820952|9768
687194774430|783
687194774430|1396
687194774430|4844
687194774430|9187
687194774430|14137
549755820974|2423
549755820974|3035
549755820974|11775
549755820988|1187
549755820988|2423
549755820988|6410
549755820988|6437
549755820988|7581
549755820988|9206
824633727939|6
824633727939|2838
549755821002|6
137438960605|6
137438960605|1185
893353204702|1541
893353204702|1674
893353204702|7017
893353204702|9260
893353204702|12331
893353204707|1028
893353204707|1541
893353204707|5464
893353204707|9157
893353204711|1541
893353204711|2069
893353204711|5064
893353204711|5900
893353204711|11588
893353204711|12162
755914251249|1444
755914251249|8082
755914251249|9188
481036344674|146
481036344674|2841
824633728361|146
962072681835|146
549755821428|146
549755821428|2841
412316867973|146
412316867973|7523
137438961036|2030
137438961036|3156
137438961036|7034
137438961036|7402
137438961036|9074
137438961036|10414
274877914509|811
274877914509|1162
274877914509|1997
274877914509|5813
274877914509|11506
274877914509|15873
962072681885|145
962072681885|1541
962072681885|2005
962072681885|5086
962072681885|6079
962072681885|6370
962072681885|6410
962072681885|9231
962072681885|9327
962072681885|10642
962072681885|11674
962072681885|12107
274877914544|1162
274877914544|2788
274877914544|5159
274877914544|11603
893353205172|1541
893353205172|2804
893353205172|2983
893353205172|8382
893353205172|9150
893353205172|10449
893353205172|11470
893353205172|11945
893353205179|570
893353205179|975
893353205179|1174
893353205179|1541
893353205179|2815
893353205179|5059
893353205179|6393
893353205179|11546
274877914563|1162
137438961096|522
137438961096|1766
137438961096|2009
137438961096|5108
137438961096|7555
137438961096|9209
137438961096|12483
137438961117|3055
137438961117|3156
137438961117|6360
137438961117|7606
137438961118|1525
137438961118|1863
137438961118|6410
274877914591|1162
274877914591|2991
274877914591|5077
274877914591|7843
274877914591|8426
274877914591|9099
274877914591|10798
137438961133|2799
137438961133|2850
137438961133|3156
137438961133|6588
137438961133|9260
137438961133|12236
206158438227|279
412316868436|279
687194775409|279
687194775409|1747
755914252179|279
755914252180|279
962072682394|279
962072682394|787
824633728934|778
824633728934|1679
824633728934|1934
824633728934|2896
824633728934|2929
824633728934|4924
824633728934|10595
824633728934|13211
824633728953|1934
824633728953|2839
824633728953|11843
343597391808|1441
343597391808|2910
343597391808|5129
343597391808|6680
343597391808|9764
343597391808|11711
824633728967|1616
824633728967|1934
824633728967|5140
824633728967|11088
824633728967|11557
343597391829|1933
343597391829|1996
343597391829|2931
343597391829|5188
343597391837|1933
343597391837|6397
343597391848|1933
343597391848|5221
824633729019|576
824633729019|1934
824633729019|10541
824633729019|13830
343597391881|206
343597391881|1933
343597391881|9065
343597391881|12220
343597392206|558
274877915478|558
412316868969|558
755914252666|558
824633729417|558
962072682890|558
343597392295|558
687194776009|558
343597392334|558
1030792159712|558
549755822589|558
755914252808|558
687194776080|558
549755822619|558
893353206316|558
274877915713|558
962072683083|558
481036345946|558
549755822690|558
755914252911|558
893353206398|558
687194776226|1204
687194776226|1404
687194776226|2898
687194776226|5100
687194776226|10853
687194776226|14369
687194776234|1404
687194776234|5184
687194776234|5546
687194776234|7604
687194776234|9054
687194776234|9198
687194776242|1404
687194776242|2898
687194776242|11645
687194776262|288
687194776262|1524
687194776262|6930
687194776262|8170
687194776262|9033
687194776262|10111
687194776262|11304
687194776262|12163
687194776262|13415
687194776263|1524
687194776263|2017
687194776263|2054
687194776263|9307
687194776263|9467
687194776263|15377
755914253002|418
755914253002|1528
755914253002|5809
687194776267|1524
687194776267|1985
687194776267|5070
687194776267|7570
687194776267|10453
687194776285|1404
687194776285|2043
687194776285|6979
687194776285|7581
687194776285|9648
687194776285|11540
687194776306|1524
687194776306|6441
687194776306|9068
687194776306|9328
687194776306|11507
687194776306|12002
687194776320|1524
687194776320|3004
687194776320|11792
687194776329|1524
687194776329|2063
687194776329|7015
687194776329|8360
687194776329|8947
687194776337|1404
687194776337|2042
687194776337|5122
687194776337|6392
687194776337|11637
687194776358|788
687194776358|1404
687194776358|5535
755914253106|282
755914253106|796
755914253106|1528
755914253106|2880
755914253106|5112
755914253106|9315
687194776374|1963
687194776374|2034
687194776374|9255
687194776382|1024
687194776382|1404
481036346492|1417
962072683663|1417
549755823264|1417
618475300009|1417
618475300023|1417
1030792160451|1417
481036346576|1417
893353207011|1417
343597393143|1417
412316869893|1417
893353207059|1417
618475300134|1417
1030792160563|1417
824633730368|1417
412316869971|1417
343597393254|1417
687194776940|1417
893353207165|1417
687194776969|1375
687194776969|4889
687194776969|6180
687194776969|6870
687194776976|295
687194776976|1375
687194776976|5781
687194776976|6195
687194776976|7115
687194776976|7660
687194776976|12681
618475300259|269
618475300259|6993
618475300259|7226
618475300259|7556
687194776999|1375
687194776999|5921
687194776999|6740
687194776999|11835
687194776999|12354
687194776999|12552
687194776999|13321
687194777007|1375
687194777007|6966
687194777007|7032
687194777007|9705
687194777007|12901
687194777026|1375
687194777026|1671
687194777026|2823
687194777026|2944
687194777026|5934
687194777026|7148
687194777026|7239
687194777026|12730
618475300296|269
618475300296|2076
618475300296|6365
687194777048|1375
687194777048|5140
687194777048|5483
687194777048|8402
687194777061|1375
687194777061|6754
687194777061|6953
687194777061|11793
687194777061|12516
687194777078|1375
687194777078|7762
687194777078|12660
687194777078|14367
687194777079|1375
687194777079|4949
687194777079|8140
687194777079|9422
687194777079|14196
618475300360|269
618475300360|1989
618475300360|2991
618475300360|6977
618475300360|7540
618475300360|14862
687194777112|1375
687194777112|5384
687194777112|8846
687194777128|1375
687194777128|2940
687194777128|6454
687194777128|6665
687194777128|8257
687194777128|9235
687194777140|1375
687194777140|7446
687194777140|7491
618475300424|269
618475300424|2071
618475300424|3030
618475300424|3097
618475300424|8556
618475300424|9350
618475300424|14024
618475300443|269
618475300443|1450
618475300443|6803
618475300443|9205
618475300443|14011
687194777192|1375
687194777192|2930
687194777192|3086
687194777192|8081
687194777192|8440
687194777192|10112
687194777196|1375
687194777196|5196
687194777196|14008
687194777202|1375
687194777202|5601
687194777202|5985
687194777202|9933
687194777202|12706
687194777202|13177
687194777210|1375
687194777210|2850
687194777210|5579
687194777210|10099
687194777210|12434
687194777228|1375
687194777228|2008
687194777228|4872
687194777228|5036
687194777228|11248
687194777228|11707
687194777228|14638
687194777229|139
687194777229|1375
687194777229|4906
687194777229|6794
962072684230|1417
1030792161112|1417
1030792161127|1417
962072684426|1417
1030792161192|1417
824633730995|1417
1030792161232|1417
962072684521|1417
824633731103|1417
1030792161316|1417
962072684582|1417
962072684617|1417
549755824205|1417
1030792161589|1985
962072684858|1985
755914254669|1985
755914254680|1985
687194777957|458
687194777957|540
687194777957|5066
687194777957|6150
481036348076|782
755914255037|782
755914255037|5078
893353208527|782
618475301593|782
687194778330|782
824633731812|782
824633731838|782
824633731838|1171
549755824910|782
549755824925|1612
549755824925|2061
549755824925|3049
549755824925|12001
549755824944|1612
549755824944|2007
549755824944|2799
549755824944|6160
549755824944|6393
549755824944|9162
549755824944|9331
549755824944|9850
549755824944|11688
549755824958|1612
549755824958|2076
549755824958|3085
549755824958|5113
549755824958|10506
549755824958|11717
549755824958|15141
687194778433|410
687194778433|6965
687194778433|9257
687194778433|9574
687194778433|10307
687194778453|410
687194778453|798
687194778453|2973
687194778453|3014
687194778453|7472
687194778454|410
687194778474|410
687194778474|570
687194778474|2920
687194778474|5067
687194778474|11848
549755825015|598
549755825015|1612
549755825015|7574
549755825015|9352
549755825029|1612
549755825029|2061
549755825029|5109
549755825029|6427
549755825029|9263
687194778507|410
687194778507|2893
687194778507|11457
687194778527|410
687194778527|1201
687194778527|5055
687194778527|6377
687194778527|7479
687194778543|410
687194778543|2943
687194778543|9183
687194778543|10817
687194778543|14012
687194778543|14161
962072685744|575
549755825349|575
824633732311|575
824633732311|1283
481036348641|562
481036348641|2794
481036348641|3077
481036348641|5925
481036348641|6425
481036348641|8376
481036348660|562
481036348660|11393
481036348677|562
481036348677|9169
481036348677|12935
687194778888|587
755914255632|587
755914255637|587
755914255668|587
755914255668|790
755914255682|587
824633732443|587
824633732464|587
481036348792|587
618475302278|587
618475302278|1174
824633732497|587
824633732504|587
824633732504|6413
687194779037|587
687194779037|790
687194779037|5132
755914255775|587
1030792162724|587
1030792162724|1174
1030792162724|1940
962072686007|1541
962072686007|6139
962072686007|13287
962072686026|1541
962072686026|2975
962072686026|5079
962072686026|5450
962072686026|7218
962072686026|7522
962072686026|11300
962072686026|11745
962072686026|14498
893353209311|1541
893353209311|2840
893353209311|7602
893353209311|9236
962072686055|1541
962072686055|5057
962072686055|5149
962072686055|10300
893353209327|576
893353209327|1541
893353209327|2020
893353209327|5165
893353209327|6944
893353209327|7584
893353209331|1541
893353209331|2881
893353209331|5122
893353209331|5307
893353209331|6404
893353209331|9141
893353209347|1541
893353209347|5647
893353209347|9126
893353209347|12061
893353209347|12137
962072686087|1541
