:START_ID(Person)|:END_ID(Organisation)|workFrom:INT
21990232556180|1338|2005
21990232558419|593|2010
21990232558990|912|2012
21990232558990|915|2012
21990232558990|936|2012
21990232558990|905|2012
21990232558990|907|2011
26388279068269|929|2009
26388279068269|931|2010
26388279068269|934|2010
26388279068269|590|2010
26388279068269|927|2010
28587302322281|544|2010
28587302322281|538|2007
28587302322281|862|2006
28587302322281|542|2008
30786325579545|1225|2005
32985348833679|1175|2008
32985348833679|1177|2008
32985348833686|864|2005
32985348833686|147|2005
32985348833686|181|2004
32985348833686|150|2004
32985348835589|769|2010
32985348835589|760|2009
32985348836807|538|2004
32985348836807|539|2004
32985348837090|546|2002
35184372090589|550|2004
1219|515|2009
1219|501|2010
1219|492|2011
1219|508|2009
1219|493|2011
1791|936|2006
1791|922|2007
1791|923|2005
3217|400|2006
3217|399|2007
2199023257297|1016|2009
2199023258066|888|2008
2199023258066|889|2008
2199023258066|891|2008
2199023258066|894|2009
2199023258456|128|2003
2199023258456|122|2002
2199023258456|396|2001
2199023258456|126|2002
2199023258908|545|2011
2199023258908|547|2012
2199023258908|548|2012
2199023258908|554|2010
4398046513334|1001|2010
4398046513334|1113|2010
4398046513334|1002|2009
6597069768567|467|2005
6597069768567|470|2005
6597069768567|475|2004
6597069768567|445|2004
8796093022290|706|2003
8796093022290|810|2003
8796093022290|811|2003
8796093022290|812|2004
8796093023634|919|2003
8796093023634|923|2004
8796093023634|927|2003
8796093024710|824|2010
8796093024710|825|2008
8796093025306|928|2004
8796093025306|915|2006
8796093025306|921|2011
8796093025306|938|2002
8796093025516|864|2007
8796093025516|865|2007
8796093025516|866|2007
10995116279585|546|2005
10995116281487|545|2009
10995116281487|548|2010
10995116281487|540|2010
13194139535313|1041|2011
13194139535313|1114|2012
15393162789560|542|2011
17592186044568|927|2009
17592186047267|593|2006
17592186047267|595|2006
17592186047267|599|2007
17592186047327|165|2006
17592186047327|150|2007
17592186047327|184|2008
17592186047327|170|2008
17592186047327|173|2007
17592186047602|1100|2010
17592186047602|1052|1999
19791209300796|139|1998
19791209300796|156|1998
19791209300796|175|2000
21990232557176|1322|2003
24189255813453|401|2008
24189255814531|1321|2011
24189255814531|1322|2002
26388279070512|1472|2007
26388279070512|1491|2008
26388279070512|1496|2009
26388279070512|1452|2008
28587302325064|1492|2010
28587302325064|1509|2009
28587302325064|1515|2010
30786325578784|1317|2001
30786325578784|922|2002
30786325578784|908|2001
30786325578784|926|2003
30786325579908|230|2007
30786325579908|233|2007
30786325580114|544|2004
30786325580114|553|2004
30786325580428|1|2010
30786325580428|4|2009
30786325580428|316|2009
30786325580547|666|2006
30786325580547|682|2006
32985348836180|577|2007
32985348836180|567|2008
3325|896|2001
3325|892|2001
2199023255747|548|2008
2199023255747|1238|2007
2199023255747|552|2006
2199023255747|554|2006
2199023257284|1557|2005
2199023257284|1559|2003
2199023257284|1561|2003
2199023258134|936|2002
2199023258134|911|2002
4398046513032|480|2008
4398046513032|484|2009
4398046513032|479|2007
4398046513938|112|2004
4398046513938|117|2003
4398046513938|121|2004
4398046513938|110|2003
4398046514136|1313|2003
4398046514136|1314|2003
4398046514136|1315|2003
4398046514136|1318|2003
4398046514136|1310|2003
8796093023215|1004|2007
8796093023215|1007|2007
10995116279705|787|2012
10995116279705|808|2009
10995116279705|729|2011
10995116281629|545|2004
10995116281629|597|2005
10995116281629|554|2004
10995116281629|543|2004
13194139533648|544|2001
13194139533648|546|2002
13194139533648|548|2002
13194139533912|461|2008
13194139534520|180|2003
13194139534520|165|2004
13194139534520|149|2002
17592186045646|1520|2003
17592186045646|1489|2004
17592186045646|1492|2003
17592186045646|1526|2003
17592186047200|810|2008
17592186047200|859|2009
21990232557294|1249|2007
21990232557294|1240|2010
21990232557294|1257|2009
21990232557294|1258|2010
26388279068705|864|2004
26388279068705|865|2005
26388279070079|515|2002
26388279070079|517|2002
28587302322718|399|2005
28587302325040|932|2005
28587302325040|917|2004
28587302325040|937|2004
30786325578724|680|2002
30786325578724|670|2010
30786325579394|888|2010
30786325579394|889|2009
30786325579394|893|2010
30786325579394|895|2009
2199023256405|544|2008
2199023256405|545|2006
2199023256405|553|2007
2199023256919|562|2004
2199023256919|559|2003
4398046512818|562|2004
4398046512818|568|2006
4398046512818|555|2005
4398046512818|603|2005
4398046514951|1554|2003
4398046514951|1556|2004
6597069768005|963|2012
6597069768005|964|2012
6597069768005|951|2013
6597069768005|958|2012
6597069768934|109|2007
6597069768956|464|2010
6597069768956|453|2011
6597069768956|475|2010
6597069768956|446|2009
10995116278292|450|2011
10995116279272|672|2003
10995116279272|680|2004
10995116281209|1117|2003
10995116281209|1118|2003
10995116281248|544|2010
10995116281248|552|2010
10995116281419|756|2001
10995116281419|981|2002
10995116281419|969|2001
10995116281419|972|2001
10995116281419|975|2001
10995116281609|1174|2009
10995116281609|1175|2009
10995116281609|1176|2011
10995116281609|1177|2009
13194139534836|801|2009
13194139534836|786|2009
13194139534836|804|2009
13194139534836|807|2008
13194139536457|1136|2004
13194139536457|1137|2004
13194139536457|1139|2003
17592186046788|942|2004
19791209301138|913|2008
19791209301138|918|2011
19791209301138|910|2012
19791209303059|1297|2005
19791209303059|1299|2006
19791209303059|1300|2006
19791209303059|1301|2006
19791209303129|544|2007
19791209303129|549|2007
19791209303129|543|2007
19791209303437|787|2006
19791209303437|1559|2004
21990232555627|708|2000
21990232555627|712|2012
21990232555627|697|2002
21990232555627|713|2011
21990232557823|706|2008
21990232557823|709|2008
21990232557823|698|2008
21990232559412|371|2003
21990232559412|372|2004
21990232559412|390|2004
21990232559412|392|2004
24189255812755|257|2001
26388279070070|908|2010
28587302322627|961|2009
28587302322627|965|2008
28587302322627|968|2010
28587302322627|955|2008
28587302322627|956|2009
30786325580021|1322|2000
893|914|2008
893|916|2009
893|907|2009
893|924|2009
893|909|2008
3631|550|2004
3631|538|2004
3631|205|2005
2199023256689|535|2009
2199023256689|537|2006
2199023257296|1291|2003
2199023257296|1326|2004
2199023257296|1294|2011
2199023258794|1536|2003
2199023258794|1296|2002
2199023258794|1299|2003
2199023258794|1301|2003
2199023258806|964|2007
2199023258806|950|2007
2199023258806|953|2008
2199023259220|546|1999
4398046513018|544|2003
4398046513018|548|2002
4398046513551|912|2002
4398046513551|770|2001
4398046513551|915|2001
4398046513551|927|2000
4398046513806|1202|2012
4398046513806|1205|2000
4398046513806|1192|2006
4398046513806|1225|1999
6597069767495|967|2012
6597069767495|952|2012
10995116277924|468|2002
10995116277924|470|2000
10995116277924|479|2002
13194139534927|670|2004
15393162790827|578|2011
15393162790827|580|2012
15393162790827|585|2011
15393162791355|669|2008
19791209300852|918|2012
19791209300852|934|2010
19791209300852|938|2011
19791209300852|911|2008
21990232555895|81|2002
21990232555895|1122|2002
21990232555895|1557|2002
21990232555895|1561|2002
21990232556476|948|2012
21990232556476|940|2010
21990232556476|943|2011
28587302325169|624|2002
28587302325169|643|2005
28587302325169|644|2004
28587302325169|1572|2007
28587302325169|653|2003
32985348833559|1561|2009
2199023258242|1568|2010
2199023258242|889|2009
2199023258242|1567|2003
4398046512267|1117|2004
4398046512578|1206|2006
4398046512578|987|2005
4398046512578|991|2007
4398046513283|922|2008
4398046513283|907|2009
4398046513833|442|2005
4398046513833|475|2004
4398046513833|447|2005
6597069767747|642|2009
6597069767747|1527|2008
6597069767747|41|2008
6597069767747|1375|2009
6597069767747|751|2007
8796093023613|1172|2004
8796093023613|249|2005
8796093023613|1164|2004
10995116278281|594|2004
10995116278281|601|2004
10995116278453|1513|2009
10995116278453|1499|2008
10995116278453|1534|2008
10995116278785|1361|2007
10995116278785|1365|2006
10995116281048|933|2005
10995116281048|920|2006
10995116281048|937|2006
10995116281048|1322|2006
10995116281048|923|2005
13194139534569|1568|2007
13194139534569|1567|2006
13194139534853|893|2001
13194139535287|449|2009
13194139535287|454|2007
13194139535287|447|2007
15393162789349|1349|2008
15393162789349|1350|2011
15393162789349|1340|2012
15393162789349|1342|2008
15393162789349|1327|2009
17592186047246|724|2003
17592186047246|1175|2003
17592186047246|1178|2003
17592186047246|1180|2003
17592186048044|1473|2001
17592186048044|1491|1999
17592186048044|1478|2000
17592186048044|1519|2001
17592186048310|674|2006
17592186048310|680|2006
17592186048310|666|2007
19791209300631|550|2004
19791209300631|542|2005
19791209301229|608|2001
19791209301229|178|2000
19791209301229|166|2000
19791209301229|174|2001
19791209301229|142|2001
19791209302436|450|2009
19791209302436|451|2007
19791209302436|486|2006
19791209302436|474|2003
19791209303133|913|2009
19791209303735|454|1999
19791209303735|488|1999
19791209303735|458|1999
19791209303735|442|1998
21990232557705|1226|2001
21990232557705|1548|2001
21990232557705|1535|2001
21990232557705|1007|2001
21990232557705|399|2000
21990232558849|768|2005
21990232558849|769|2006
21990232558849|760|2006
21990232558871|665|2003
21990232558871|666|2003
21990232558871|669|2002
24189255812857|567|2001
24189255812857|569|2000
24189255812857|586|2001
26388279069382|167|2005
26388279069382|137|2004
28587302323655|97|2010
28587302323655|82|2010
28587302323655|91|2010
28587302323655|93|2011
30786325578056|1321|2006
30786325578056|1322|2009
30786325578056|1325|2004
30786325579148|1471|2007
32985348835447|950|2004
32985348835447|812|2006
32985348835762|1315|2003
32985348835762|1304|2004
32985348835762|1308|2003
32985348835762|1310|2003
1434|977|2005
1434|971|1999
1434|974|2006
4398046511628|1013|2004
4398046511628|1021|2004
4398046514779|930|1999
4398046514779|905|2000
6597069769378|147|2004
6597069769378|183|2004
6597069769378|168|2004
6597069769378|143|2004
6597069769920|546|2005
8796093024559|1323|2004
8796093024637|1217|2002
8796093024637|737|2002
8796093024637|1190|2001
8796093024637|1208|2003
8796093024637|1195|2001
8796093024837|56|2007
8796093024837|42|2007
8796093025828|925|2002
8796093026107|1308|2000
13194139533792|957|2007
13194139534257|146|2008
13194139536306|864|2004
13194139536306|866|2004
13194139536501|922|2000
13194139536501|924|2001
19791209300124|1378|2004
19791209300124|1351|2004
19791209300124|1369|2004
19791209300124|1356|2005
19791209302163|207|2000
19791209302836|513|2005
19791209302836|495|2004
21990232557730|1158|2013
21990232557730|1167|2012
21990232558439|305|2010
24189255811862|323|2005
24189255811862|310|2006
24189255811862|312|2006
24189255811862|313|2006
24189255812574|961|2002
24189255812802|1249|2001
24189255812802|1250|2000
24189255812802|1268|2000
24189255812802|1238|1999
24189255813943|928|2001
24189255813943|920|2000
24189255813943|910|2001
24189255814337|605|2002
24189255814337|590|2001
28587302323934|240|2003
30786325578144|810|2000
30786325578144|812|2000
30786325578144|813|1999
32985348835991|560|2004
32985348835991|576|2004
32985348835991|563|2004
32985348835991|569|2004
32985348836120|517|2003
32985348836120|503|2004
32985348836120|492|2004
32985348836120|493|2004
32985348836120|511|2004
1874|554|2007
2304|473|2000
3219|577|2000
3219|997|1999
3219|988|2000
2199023255869|864|2002
2199023255869|866|2001
2199023255869|771|2002
4398046512637|1521|2006
4398046512637|1458|2005
4398046512637|1479|2005
4398046512637|1529|2006
4398046512637|1470|2005
8796093022386|770|2009
8796093023506|887|2001
8796093023506|895|2002
8796093024089|69|2006
8796093024089|71|2009
8796093024089|74|2009
8796093024089|44|2003
8796093024089|60|2012
8796093025530|208|2011
10995116280797|905|2007
10995116280797|923|2007
10995116280797|926|2007
13194139533523|502|2007
13194139533523|214|2009
13194139534332|549|2011
13194139534332|553|2012
13194139534332|542|2009
13194139536419|786|2010
13194139536419|796|2010
13194139536419|1535|2010
13194139536961|912|2004
13194139536961|934|2004
13194139536961|927|2004
15393162788865|496|2008
15393162788865|514|2007
15393162788865|293|2008
15393162790904|453|2006
15393162790904|489|2007
17592186044605|931|2009
17592186044605|919|2008
17592186044605|906|2009
17592186044605|1117|2009
17592186044605|685|2008
21990232557420|304|2003
21990232557420|307|2004
21990232557756|1161|2001
21990232557756|1162|2002
21990232557756|1150|2001
24189255811103|448|2003
24189255811103|459|2002
24189255811103|462|2002
24189255811719|966|2008
24189255811719|399|2007
24189255811782|1|2007
24189255811782|1001|2007
24189255811782|1002|2008
24189255812105|935|2003
24189255812105|1560|2003
26388279066717|21|2008
26388279066717|30|2007
26388279066717|31|2008
26388279067671|1527|2001
28587302323020|128|2010
28587302323020|1560|2011
28587302323020|1561|2010
28587302325551|1175|2009
28587302325551|1176|2007
28587302325551|1177|2008
28587302325551|1180|2007
32985348835100|544|2009
32985348835100|554|2008
32985348836491|250|2008
32985348836491|1022|2008
35184372092707|929|1999
35184372092707|1533|2010
1909|912|2006
1909|914|2006
1909|918|2007
1909|937|2007
1909|938|2007
2199023256300|195|2012
2199023256300|196|2004
2199023256300|198|2002
2199023256300|200|2005
2199023256300|201|1999
2199023257977|1175|2008
2199023257977|1177|2009
2199023257977|1179|2009
2199023257977|1180|2010
2199023259363|258|2008
2199023259363|255|1999
4398046514157|1040|2010
4398046514157|1086|2008
6597069768050|913|2008
6597069768050|930|2008
6597069768050|915|2008
6597069768050|910|2008
8796093022392|1559|2001
8796093022392|1560|2001
8796093022392|1561|2002
8796093024749|454|2002
8796093024759|920|2002
8796093024759|938|2003
8796093024759|911|2004
10995116278554|912|2012
10995116278554|935|2010
10995116278554|921|2009
10995116278554|922|2008
10995116278570|932|2004
10995116278570|917|2004
10995116278570|936|2007
10995116278570|937|2003
10995116278570|905|2010
10995116280941|682|2007
13194139534384|1569|2009
13194139534384|1571|2008
13194139534384|1573|2008
13194139535568|197|2003
13194139535568|201|2003
15393162790101|1002|2007
15393162790101|827|2007
15393162791204|913|2002
15393162791204|930|2003
15393162791204|927|2003
15393162792600|1175|2002
17592186045074|546|2008
17592186045074|553|2009
19791209301454|706|2010
19791209301454|711|2010
19791209301454|712|2010
21990232556497|1176|1999
24189255813217|818|2002
24189255813217|819|2003
24189255813217|822|2003
24189255814524|1568|2013
24189255814524|1115|2013
24189255814524|1567|2012
24189255814752|786|2007
24189255814752|782|2008
26388279069515|546|2003
26388279069515|547|2003
26388279069515|548|2003
26388279069515|542|2003
26388279069515|543|2002
26388279069942|614|2012
26388279069942|615|2013
26388279070275|928|2009
26388279070275|866|2008
26388279070275|930|2008
26388279070275|906|2009
28587302324393|208|2005
28587302324393|209|2006
28587302324393|721|2005
28587302325910|896|2007
28587302325910|897|2007
28587302325939|1177|2009
30786325578670|965|2008
30786325578670|951|2008
30786325578670|956|2008
30786325580338|320|2002
30786325580338|324|2002
30786325580338|329|2002
30786325580338|313|2003
32985348834776|932|2006
32985348834776|908|2006
32985348834776|927|2004
1103|1332|2008
1103|1333|2012
1103|1335|2002
1103|1338|2003
1103|1326|2000
3331|1014|2009
2199023256363|962|2000
2199023256363|949|2000
2199023256363|967|1999
2199023256363|958|1999
4398046511937|880|2000
4398046511937|811|2000
4398046511937|813|1999
4398046514484|547|2001
4398046514484|551|2000
4398046514484|249|2001
6597069766725|676|2000
6597069766725|677|2000
6597069766725|680|2002
6597069766725|668|2001
6597069767686|122|2006
6597069767686|124|2007
6597069767686|127|2005
6597069769317|1440|2009
6597069769317|1458|2011
6597069769317|1477|2009
6597069769317|1493|2012
6597069769317|1527|2007
6597069769909|541|2006
8796093025751|1177|2007
8796093025751|1178|2007
8796093025751|1180|2008
10995116277820|482|2010
10995116278238|1096|2010
10995116278238|1085|2009
10995116280896|826|2000
10995116281261|1025|2009
10995116281261|1095|2009
10995116281261|1037|2009
10995116281261|1101|2008
13194139534816|0|2008
13194139534816|5|2009
13194139534982|150|2007
13194139534982|159|2007
13194139535717|1002|2012
13194139537169|1127|2004
13194139537169|1130|2005
13194139537169|1133|2004
15393162791313|973|2007
15393162791313|975|2006
15393162791907|925|2009
15393162791907|910|2012
17592186045360|470|2002
17592186045360|463|2001
17592186046846|304|2005
17592186046846|299|2005
17592186046846|300|2004
17592186046846|302|2005
17592186047971|931|2001
17592186047971|926|2001
19791209301201|358|2004
19791209301201|359|2004
19791209301201|360|2003
19791209301201|347|2003
21990232557038|906|2000
21990232557038|924|2001
21990232557038|908|2000
21990232557038|926|2000
21990232558713|212|2008
21990232558713|214|2007
21990232558713|231|2006
21990232558713|221|2006
24189255811654|964|2006
24189255811654|953|2000
24189255811654|955|2005
24189255811940|538|2001
24189255814409|466|2001
24189255814409|820|2003
24189255814409|455|2002
26388279067627|768|2008
26388279067627|761|2008
26388279067627|762|2007
26388279067627|763|2007
26388279067627|765|2008
26388279069947|981|2004
26388279069947|969|2004
26388279069947|970|2005
26388279069947|975|2006
28587302322372|532|2003
28587302322372|534|2003
28587302322372|535|2002
28587302324129|924|2006
28587302325727|548|2001
28587302325727|552|2009
28587302325727|538|2001
28587302325727|543|2002
30786325580437|1568|2011
32985348834019|893|2007
32985348834019|895|2005
32985348835356|400|2007
32985348835356|399|2008
35184372091040|538|2006
3676|675|2006
3676|666|2005
2199023255660|1106|2009
2199023255660|824|2000
2199023255660|827|2005
2199023258479|305|2006
2199023258479|307|2006
6597069770264|275|2010
6597069770264|287|2009
6597069770264|271|2009
8796093022634|339|2008
8796093022634|967|2008
8796093022634|952|2007
8796093022634|958|2007
8796093023519|945|2003
8796093023519|948|2003
8796093023519|943|2002
8796093024687|930|2002
8796093024687|918|2002
8796093024687|909|2002
8796093024878|914|2007
8796093024878|936|2007
8796093024878|905|2007
8796093024878|938|2007
8796093024878|911|2007
10995116279823|1079|2006
10995116279823|253|2012
10995116279966|922|2011
10995116279966|907|2012
10995116280870|784|2007
10995116280870|804|2007
10995116280870|790|2007
10995116280870|808|2007
15393162789262|684|2003
15393162791897|1568|2010
15393162791897|1567|2011
15393162792175|1181|2000
15393162792175|1214|2012
15393162792175|1182|2005
15393162792416|906|2003
15393162792416|924|2003
15393162792416|909|2004
19791209302058|966|2002
19791209302599|897|2003
19791209302599|890|2004
19791209302599|893|2004
19791209302972|1118|2007
21990232556725|912|2005
21990232556725|1552|2004
21990232556725|935|2006
21990232557562|933|2007
21990232557562|935|2006
21990232557562|921|2007
21990232557562|924|2006
21990232557562|925|2005
21990232557875|864|2005
24189255814441|716|2009
24189255814476|503|2003
24189255814476|493|2002
24189255814486|112|2001
24189255814486|121|2002
26388279069034|472|2004
26388279070200|548|2010
26388279070200|538|2010
26388279070200|540|2011
26388279070200|542|2011
30786325580251|229|2005
30786325580251|245|2005
30786325580508|106|2005
30786325580508|107|2005
30786325580508|108|2005
2199023258364|6|2005
4398046512338|544|2012
4398046513253|547|2003
4398046513253|550|2002
4398046513253|541|2001
6597069768822|323|2010
6597069768822|324|2010
6597069768822|325|2009
6597069768822|318|2009
6597069770100|824|2005
6597069770100|825|2005
6597069770100|827|2004
8796093025148|1557|2000
8796093025148|1559|2001
8796093025996|1557|1999
8796093025996|1558|2000
10995116278300|930|1998
10995116278300|907|1998
10995116279437|271|2005
10995116280720|1560|2008
13194139536145|906|2004
13194139536331|1186|2002
13194139536331|1198|2001
13194139536461|864|2003
13194139536461|865|2005
13194139536845|983|2007
15393162789746|600|2009
15393162789923|107|2007
15393162789923|108|2009
15393162789932|1235|1999
